location,price,total_sqft,No. of Bedrooms,School,24X7Security,CarParking,Hospital,LiftAvailable
Nizampet,6968000,1340,2,0,1,1,0,1
Hitech City,29000000,3498,4,0,1,1,0,1
Manikonda,6590000,1318,2,0,0,0,0,0
Alwal,5739000,1295,3,0,0,0,0,1
Kukatpally,5679000,1145,2,0,0,1,0,1
Nizampet,6099000,1230,2,0,0,0,0,1
Manikonda,7000000,1350,2,0,0,0,0,1
Gachibowli,4198000,1400,3,0,0,0,0,1
Tellapur,9900000,2240,3,0,1,0,0,0
Gachibowli,9800000,1520,2,0,0,0,0,1
Kokapet,8903000,1535,3,0,1,1,0,1
Hyder Nagar,6300000,1150,2,0,0,0,0,1
Mehdipatnam,6300000,1285,2,0,0,0,0,1
Tellapur,9000000,1897,3,0,1,1,0,1
Narsingi,11100000,1725,3,0,1,1,0,1
Khajaguda Nanakramguda Road,11500000,1665,3,0,0,0,0,1
Kukatpally,10900000,1592,3,0,0,0,0,1
Madhapur,8625000,1150,2,0,0,0,0,1
Tellapur,9900000,2240,3,0,1,0,0,1
Puppalaguda,3900000,1050,3,0,0,0,0,0
Nizampet,6968000,1340,2,0,1,1,0,1
Hitech City,29000000,3498,4,0,1,1,0,1
Manikonda,6590000,1318,2,0,0,0,0,0
Alwal,5739000,1295,3,0,0,0,0,1
Kukatpally,5679000,1145,2,0,0,1,0,1
Nizampet,6099000,1230,2,0,0,0,0,1
Manikonda,7000000,1350,2,0,0,0,0,1
Gachibowli,4198000,1400,3,0,0,0,0,1
Tellapur,9900000,2240,3,0,1,0,0,0
Gachibowli,9800000,1520,2,0,0,0,0,1
Kokapet,8903000,1535,3,0,1,1,0,1
Hyder Nagar,6300000,1150,2,0,0,0,0,1
Mehdipatnam,6300000,1285,2,0,0,0,0,1
Tellapur,9000000,1897,3,0,1,1,0,1
Narsingi,11100000,1725,3,0,1,1,0,1
Khajaguda Nanakramguda Road,11500000,1665,3,0,0,0,0,1
Kukatpally,10900000,1592,3,0,0,0,0,1
Madhapur,8625000,1150,2,0,0,0,0,1
Tellapur,9900000,2240,3,0,1,0,0,1
Puppalaguda,3900000,1050,3,0,0,0,0,0
Puppalaguda,7800000,1735,3,0,0,0,0,1
Narsingi,19600000,2800,3,0,0,0,0,1
Begumpet,6050000,1050,2,0,0,0,0,1
Kukatpally,6150000,1230,2,0,0,0,0,1
Nizampet,5000000,1175,2,0,0,0,0,0
Nizampet,4760000,1190,2,0,0,0,0,0
Banjara Hills,30000000,2956,4,0,0,0,0,0
AS Rao Nagar,2500000,680,2,0,0,0,0,0
Pragathi Nagar Kukatpally,5900000,1350,2,0,0,0,0,1
Miyapur,9700000,1970,3,0,0,0,0,1
Mallampet,4641000,1105,2,0,0,0,0,1
Nanakramguda,16000000,2005,3,0,0,0,0,0
Mallampet,4641000,1105,2,0,0,0,0,1
Attapur,7500000,1406,3,0,0,0,0,0
Alwal,6140000,1545,3,0,0,0,0,1
Nanakramguda,10500000,1495,3,0,1,1,0,1
West Marredpally,7200000,1300,3,0,0,0,0,0
Nizampet,4600000,1200,2,0,0,0,0,1
Hitech City,10400000,1450,3,0,0,0,0,0
Banjara Hills,9500000,1450,3,0,0,0,0,0
Narsingi,9942000,1912,3,0,0,1,0,1
Manikonda,9250000,1850,3,0,0,0,0,1
Puppalaguda,4500000,1300,3,0,0,0,0,1
Kompally,9600000,1674,3,0,1,1,0,1
Sri Nagar Colony,8600000,1242,3,0,0,0,0,0
Hakimpet,2700000,850,2,0,0,0,0,0
Pocharam,6600000,1895,3,0,1,1,0,1
Nagole,8589000,1636,3,0,1,1,0,1
LB Nagar,5500000,1076,2,0,0,0,0,0
Meerpet,3200000,1080,2,0,0,0,0,1
Kachiguda,20500000,2100,3,0,0,0,0,1
Manikonda,6300000,1265,2,0,0,0,0,0
Masab Tank,6400000,1300,3,0,0,0,0,1
Miyapur,4988000,1089,2,0,0,0,0,1
Kondapur,10500000,1400,2,0,0,0,0,1
Saroornagar,4300000,850,2,0,0,0,0,0
Nizampet,3900000,1100,2,0,0,0,0,0
Uppal Kalan,5500000,1700,3,0,0,0,0,1
Tellapur,10300000,2150,3,0,1,1,0,1
Mallapur,6600000,1195,2,0,0,0,0,1
Miyapur,6500000,1105,2,0,0,0,0,0
Manikonda,5784000,1205,2,0,1,1,0,1
Rajendra Nagar,5500000,1250,3,0,0,0,0,1
Puppalaguda,6700000,1340,2,0,0,1,0,1
Beeramguda,3000000,950,2,0,0,0,0,0
Moosapet,4700000,1100,2,0,0,0,0,1
Kondapur,15000000,1908,3,0,0,0,0,0
Bachupally,7872000,1675,3,0,1,0,0,1
Toli Chowki,7500000,1420,3,0,0,0,0,0
Kokapet,8903000,1535,3,0,1,1,0,1
Nanakramguda,3200000,910,2,0,0,0,0,1
Lakdikapul,5600000,1325,3,0,0,0,0,1
Tarnaka,11000000,1717,3,0,0,0,0,0
West Marredpally,12000000,2400,3,0,0,0,0,0
Kondapur,6900000,1150,2,0,0,0,0,1
Toli Chowki,3900000,1000,3,0,0,0,0,0
Kistareddypet,3999000,1200,2,0,0,0,0,1
Pragathi Nagar Kukatpally,4460000,1040,2,0,0,0,0,1
Hafeezpet,7298999,1181,2,0,0,0,0,1
Kompally,10500000,2100,3,0,0,0,0,0
Shaikpet,12000000,1550,3,0,1,0,0,1
Amberpet,7700000,1280,3,0,0,0,0,1
Kokapet,12400000,1945,3,0,0,0,0,0
Hitech City,28200000,3500,4,0,1,1,0,1
Nagole,3700000,1000,2,0,1,1,0,1
Miyapur,8000000,1200,2,0,0,0,0,1
Gachibowli,17700000,2729,4,0,0,0,0,1
AS Rao Nagar,6998999,1500,3,0,0,0,0,1
Banjara Hills,19400000,2165,3,0,0,1,0,1
Kapra,3000000,1050,2,0,0,0,0,1
Bachupally,2999000,1150,2,0,0,0,0,1
West Marredpally,8500000,1822,3,0,0,0,0,1
Puppalaguda,6500000,1270,1,0,0,0,0,1
Trimalgherry,4500000,1300,1,0,0,0,0,1
Habsiguda,8500000,1600,3,0,0,0,0,1
Sanath Nagar,14500000,1818,3,0,1,1,0,1
Darga Khaliz Khan,8000000,1282,2,0,0,0,0,1
Manikonda,8600000,1830,3,0,0,0,0,1
Kokapet,9073000,1815,3,0,1,1,0,1
Puppalaguda,6700000,1400,1,0,0,0,0,1
Nizampet,6344000,1220,2,0,1,1,0,1
Nizampet,8580000,1650,3,0,1,1,0,1
Nizampet,8736000,1680,3,0,1,1,0,1
Nizampet,8086000,1555,3,0,1,1,0,1
Nizampet,8762000,1685,3,0,1,1,0,1
